Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2018-10-15,1118,1121.8,1098.22,1102.44,1503956
2018-10-16,1113.48,1136.37,1111.75,1133.08,1918879
2018-10-17,1140,1147,1114,1127.59,1782614
2018-10-18,1130,1132.35,1086.34,1097.91,2307596
2018-10-19,1103.71,1120.95,1097.03,1105.18,2064289
2018-10-22,1112.51,1121.69,1100,1111.37,1355842
2018-10-23,1091.29,1118,1079.01,1114.91,1884255
2018-10-24,1115,1116.62,1055.06,1057.12,2464295
2018-10-25,1080.3,1117.82,1075.55,1103.59,3647814
2018-10-26,1048.33,1117,1042.23,1083.75,5321883
2018-10-29,1096.54,1108.83,1007.2,1034.73,4064452
2018-10-30,1020.01,1050.9,1013.97,1049.51,2988418
2018-10-31,1068.2,1108,1068.2,1090.58,3545821
2018-11-01,1091.4,1099.9,1077.82,1085.98,2006575
2018-11-02,1089,1098,1067.66,1071.49,2172215
2018-11-05,1072.53,1073.35,1034,1055.73,2267870
2018-11-06,1055.02,1079.82,1053.61,1069.57,1433013
2018-11-07,1083.49,1109.93,1080.59,1108.24,2169392
2018-11-08,1107.3,1108.22,1084.36,1094.63,1685193
2018-11-09,1084.02,1088.35,1064.26,1077.02,1743298
2018-11-12,1073.13,1074.1,1040.35,1049.36,1700091
2018-11-13,1054.81,1066.67,1040.4,1047.97,1287475
2018-11-14,1060,1065.79,1041.11,1054.58,1733302
2018-11-15,1051.46,1078.87,1041.29,1071.05,2079154
2018-11-16,1065.23,1072.44,1054.9,1068.27,1768308
2018-11-19,1063.39,1068,1022.87,1027.42,2284191
2018-11-20,1007.29,1037.35,1002.21,1030.45,2722934
2018-11-21,1045.31,1054.71,1039.46,1043.43,1485172
2018-11-23,1033.5,1043,1028.52,1030.1,708859
2018-11-26,1044,1057,1039.77,1055.94,1577941
2018-11-27,1051.34,1066.76,1045.5,1052.28,1652433
2018-11-28,1057.46,1092.86,1042.95,1091.79,2302121
2018-11-29,1083.53,1100.15,1082,1094.58,1550523
2018-11-30,1095.63,1109.65,1083.18,1109.65,2983340
2018-12-03,1132.16,1135,1111.73,1116.36,2876449
2018-12-04,1112.99,1114.24,1060.78,1062.47,2281485
2018-12-06,1045,1079.42,1042.48,1078.08,2371825
2018-12-07,1072.23,1085.03,1039.37,1046.58,2134111
2018-12-10,1042.94,1059.6,1033,1053.18,1682646
2018-12-11,1066.94,1070.4,1050.1,1061.65,1692576
2018-12-12,1077.08,1091.73,1071.97,1073.73,1447973
2018-12-13,1075.67,1088.42,1064.99,1073.54,1249403
2018-12-14,1060.02,1071.72,1049.37,1051.71,1817949
2018-12-17,1047.01,1062.38,1016.63,1025.65,2496551
